port,state,service,product,version,latency_ms,banner
1,filtered,,,,,
2,filtered,,,,,
3,filtered,,,,,
4,filtered,,,,,
5,filtered,,,,,
6,filtered,,,,,
7,filtered,,,,,
8,filtered,,,,,
9,filtered,,,,,
10,filtered,,,,,
11,filtered,,,,,
12,filtered,,,,,
13,filtered,,,,,
14,filtered,,,,,
15,filtered,,,,,
16,filtered,,,,,
17,filtered,,,,,
18,filtered,,,,,
19,filtered,,,,,
20,filtered,,,,,
21,filtered,,,,,
22,open,ssh,OpenSSH,6.6.1p1,170.79,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
23,filtered,,,,,
24,filtered,,,,,
25,filtered,,,,,
26,filtered,,,,,
27,filtered,,,,,
28,filtered,,,,,
29,filtered,,,,,
30,filtered,,,,,
31,filtered,,,,,
32,filtered,,,,,
33,filtered,,,,,
34,filtered,,,,,
35,filtered,,,,,
36,filtered,,,,,
37,filtered,,,,,
38,filtered,,,,,
39,filtered,,,,,
40,filtered,,,,,
41,filtered,,,,,
42,filtered,,,,,
43,filtered,,,,,
44,filtered,,,,,
45,filtered,,,,,
46,filtered,,,,,
47,filtered,,,,,
48,filtered,,,,,
49,filtered,,,,,
50,filtered,,,,,
51,filtered,,,,,
52,filtered,,,,,
53,filtered,,,,,
54,filtered,,,,,
55,filtered,,,,,
56,filtered,,,,,
57,filtered,,,,,
58,filtered,,,,,
59,filtered,,,,,
60,filtered,,,,,
61,filtered,,,,,
62,filtered,,,,,
63,filtered,,,,,
64,filtered,,,,,
65,filtered,,,,,
66,filtered,,,,,
67,filtered,,,,,
68,filtered,,,,,
69,filtered,,,,,
70,filtered,,,,,
71,filtered,,,,,
72,filtered,,,,,
73,filtered,,,,,
74,filtered,,,,,
75,filtered,,,,,
76,filtered,,,,,
77,filtered,,,,,
78,filtered,,,,,
79,filtered,,,,,
80,open,http,Apache,2.4.7,171.88,"HTTP/1.1 200 OK Date: Sun, 28 Jun 2026 12:21:29 GMT Server: Apache/2.4.7 (Ubuntu) Accept-Ranges: bytes Vary: Accept-Encoding Connection: close Content-Type: text/html"
81,filtered,,,,,
82,filtered,,,,,
83,filtered,,,,,
84,filtered,,,,,
85,filtered,,,,,
86,filtered,,,,,
87,filtered,,,,,
88,filtered,,,,,
89,filtered,,,,,
90,filtered,,,,,
91,filtered,,,,,
92,filtered,,,,,
93,filtered,,,,,
94,filtered,,,,,
95,filtered,,,,,
96,filtered,,,,,
97,filtered,,,,,
98,filtered,,,,,
99,filtered,,,,,
100,filtered,,,,,
101,filtered,,,,,
102,filtered,,,,,
103,filtered,,,,,
104,filtered,,,,,
105,filtered,,,,,
106,filtered,,,,,
107,filtered,,,,,
108,filtered,,,,,
109,filtered,,,,,
110,filtered,,,,,
111,filtered,,,,,
112,filtered,,,,,
113,filtered,,,,,
114,filtered,,,,,
115,filtered,,,,,
116,filtered,,,,,
117,filtered,,,,,
118,filtered,,,,,
119,filtered,,,,,
120,filtered,,,,,
121,filtered,,,,,
122,filtered,,,,,
123,filtered,,,,,
124,filtered,,,,,
125,filtered,,,,,
126,filtered,,,,,
127,filtered,,,,,
128,filtered,,,,,
129,filtered,,,,,
130,filtered,,,,,
131,filtered,,,,,
132,filtered,,,,,
133,filtered,,,,,
134,filtered,,,,,
135,filtered,,,,,
136,filtered,,,,,
137,filtered,,,,,
138,filtered,,,,,
139,filtered,,,,,
140,filtered,,,,,
141,filtered,,,,,
142,filtered,,,,,
143,filtered,,,,,
144,filtered,,,,,
145,filtered,,,,,
146,filtered,,,,,
147,filtered,,,,,
148,filtered,,,,,
149,filtered,,,,,
150,filtered,,,,,
151,filtered,,,,,
152,filtered,,,,,
153,filtered,,,,,
154,filtered,,,,,
155,filtered,,,,,
156,filtered,,,,,
157,filtered,,,,,
158,filtered,,,,,
159,filtered,,,,,
160,filtered,,,,,
161,filtered,,,,,
162,filtered,,,,,
163,filtered,,,,,
164,filtered,,,,,
165,filtered,,,,,
166,filtered,,,,,
167,filtered,,,,,
168,filtered,,,,,
169,filtered,,,,,
170,filtered,,,,,
171,filtered,,,,,
172,filtered,,,,,
173,filtered,,,,,
174,filtered,,,,,
175,filtered,,,,,
176,filtered,,,,,
177,filtered,,,,,
178,filtered,,,,,
179,filtered,,,,,
180,filtered,,,,,
181,filtered,,,,,
182,filtered,,,,,
183,filtered,,,,,
184,filtered,,,,,
185,filtered,,,,,
186,filtered,,,,,
187,filtered,,,,,
188,filtered,,,,,
189,filtered,,,,,
190,filtered,,,,,
191,filtered,,,,,
192,filtered,,,,,
193,filtered,,,,,
194,filtered,,,,,
195,filtered,,,,,
196,filtered,,,,,
197,filtered,,,,,
198,filtered,,,,,
199,filtered,,,,,
200,filtered,,,,,
201,filtered,,,,,
202,filtered,,,,,
203,filtered,,,,,
204,filtered,,,,,
205,filtered,,,,,
206,filtered,,,,,
207,filtered,,,,,
208,filtered,,,,,
209,filtered,,,,,
210,filtered,,,,,
211,filtered,,,,,
212,filtered,,,,,
213,filtered,,,,,
214,filtered,,,,,
215,filtered,,,,,
216,filtered,,,,,
217,filtered,,,,,
218,filtered,,,,,
219,filtered,,,,,
220,filtered,,,,,
221,filtered,,,,,
222,filtered,,,,,
223,filtered,,,,,
224,filtered,,,,,
225,filtered,,,,,
226,filtered,,,,,
227,filtered,,,,,
228,filtered,,,,,
229,filtered,,,,,
230,filtered,,,,,
231,filtered,,,,,
232,filtered,,,,,
233,filtered,,,,,
234,filtered,,,,,
235,filtered,,,,,
236,filtered,,,,,
237,filtered,,,,,
238,filtered,,,,,
239,filtered,,,,,
240,filtered,,,,,
241,filtered,,,,,
242,filtered,,,,,
243,filtered,,,,,
244,filtered,,,,,
245,filtered,,,,,
246,filtered,,,,,
247,filtered,,,,,
248,filtered,,,,,
249,filtered,,,,,
250,filtered,,,,,
251,filtered,,,,,
252,filtered,,,,,
253,filtered,,,,,
254,filtered,,,,,
255,filtered,,,,,
256,filtered,,,,,
257,filtered,,,,,
258,filtered,,,,,
259,filtered,,,,,
260,filtered,,,,,
261,filtered,,,,,
262,filtered,,,,,
263,filtered,,,,,
264,filtered,,,,,
265,filtered,,,,,
266,filtered,,,,,
267,filtered,,,,,
268,filtered,,,,,
269,filtered,,,,,
270,filtered,,,,,
271,filtered,,,,,
272,filtered,,,,,
273,filtered,,,,,
274,filtered,,,,,
275,filtered,,,,,
276,filtered,,,,,
277,filtered,,,,,
278,filtered,,,,,
279,filtered,,,,,
280,filtered,,,,,
281,filtered,,,,,
282,filtered,,,,,
283,filtered,,,,,
284,filtered,,,,,
285,filtered,,,,,
286,filtered,,,,,
287,filtered,,,,,
288,filtered,,,,,
289,filtered,,,,,
290,filtered,,,,,
291,filtered,,,,,
292,filtered,,,,,
293,filtered,,,,,
294,filtered,,,,,
295,filtered,,,,,
296,filtered,,,,,
297,filtered,,,,,
298,filtered,,,,,
299,filtered,,,,,
300,filtered,,,,,
301,filtered,,,,,
302,filtered,,,,,
303,filtered,,,,,
304,filtered,,,,,
305,filtered,,,,,
306,filtered,,,,,
307,filtered,,,,,
308,filtered,,,,,
309,filtered,,,,,
310,filtered,,,,,
311,filtered,,,,,
